2019-06-07 23:13:43,478 - INFO - Criando servidor com parametros host: 10.254.224.52, port:55000, interval: 0.001
2019-06-07 23:13:43,478 - INFO - Criando socket UDP
2019-06-07 23:14:02,618 - INFO - sending message(id:272) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,622 - INFO - sending message(id:273) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,624 - INFO - sending message(id:274) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,625 - INFO - sending message(id:275) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,627 - INFO - sending message(id:276) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,628 - INFO - sending message(id:277) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,630 - INFO - sending message(id:278) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,632 - INFO - sending message(id:279) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,634 - INFO - sending message(id:280) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,640 - INFO - sending message(id:281) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,641 - INFO - sending message(id:282) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,643 - INFO - sending message(id:283) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,645 - INFO - sending message(id:284) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,646 - INFO - sending message(id:285) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,648 - INFO - sending message(id:286) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,650 - INFO - sending message(id:287) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,651 - INFO - sending message(id:288) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,653 - INFO - sending message(id:289) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,655 - INFO - sending message(id:290) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,658 - INFO - sending message(id:291) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,660 - INFO - sending message(id:292) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,661 - INFO - sending message(id:293) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,663 - INFO - sending message(id:294) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,665 - INFO - sending message(id:295) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,667 - INFO - sending message(id:296) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,670 - INFO - sending message(id:297) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,671 - INFO - sending message(id:298) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,673 - INFO - sending message(id:299) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,674 - INFO - sending message(id:300) to ('10.254.224.48', 56916)
2019-06-07 23:14:02,677 - INFO - sending message(id:301) to ('10.254.224.48', 56916)
